,work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
9067,2025,3,FT,Data Scientist,202750,US,0,US,2
9069,2025,3,FT,Data Scientist,239100,US,0,US,3
9070,2025,3,FT,Data Scientist,143200,US,0,US,3
9072,2025,3,FT,Data Scientist,121400,US,0,US,2
9073,2025,2,FT,Data Scientist,212800,US,0,US,3
9074,2025,2,FT,Data Scientist,125500,US,0,US,3
9075,2025,4,FT,Machine Learning Engineer,253950,US,0,US,2
9076,2025,4,FT,Machine Learning Engineer,175100,US,0,US,2
9077,2025,3,FT,Architect,200000,US,0,US,3
9078,2025,3,FT,Architect,99500,US,0,US,3
9079,2025,2,FT,Manager,193900,US,0,US,2
9080,2025,2,FT,Manager,129300,US,0,US,2
9081,2025,3,FT,Software Engineer,204500,US,0,US,2
9083,2025,3,FT,Software Engineer,243340,US,0,US,2
9084,2025,3,FT,Software Engineer,127310,US,0,US,2
9089,2025,3,FT,Engineer,226700,US,0,US,2
9090,2025,3,FT,Engineer,121400,US,0,US,2
9091,2025,2,FT,Engineer,212200,US,0,US,3
9092,2025,2,FT,Engineer,104000,US,0,US,3
9095,2025,1,FT,Engineer,212200,US,0,US,3
9096,2025,1,FT,Engineer,104000,US,0,US,3
9097,2025,3,FT,Computational Biologist,251000,CA,100,CA,2
9098,2025,3,FT,Computational Biologist,179000,CA,100,CA,2
9101,2025,1,FT,Data Analyst,199600,US,100,US,2
9102,2025,1,FT,Data Analyst,133100,US,100,US,2
9103,2025,3,FT,Data Analyst,159000,US,0,US,2
9105,2025,3,FT,Data Governance Lead,195400,US,0,US,2
9106,2025,3,FT,Data Governance Lead,140670,US,0,US,2
9109,2025,2,FT,Data Scientist,109200,US,0,US,2
9110,2025,2,FT,Data Scientist,87400,US,0,US,2
9111,2025,3,FT,Product Manager,185000,US,100,US,2
9112,2025,3,FT,Product Manager,150000,US,100,US,2
9115,2025,2,FT,BI Engineer,144200,CA,100,CA,2
9116,2025,2,FT,BI Engineer,106600,CA,100,CA,2
9117,2025,2,FT,AI Engineer,240000,US,100,US,2
9119,2025,3,FT,Software Engineer,249000,US,0,US,2
9132,2025,2,FT,Software Engineer,117000,US,0,US,2
9137,2025,3,FT,Software Engineer,214000,US,0,US,2
9138,2025,3,FT,Software Engineer,142000,US,0,US,2
9141,2025,3,FT,Data Engineer,260000,US,100,US,2
9142,2025,3,FT,Data Engineer,204000,US,100,US,2
9143,2025,1,FT,Data Engineer,20210,FR,0,FR,2
9144,2025,1,FT,Data Engineer,16421,FR,0,FR,2
9148,2025,2,FT,Research Scientist,200000,US,0,US,2
9150,2025,2,FT,Associate,55000,US,0,US,2
9153,2025,3,FT,Engineer,243000,US,0,US,2
9154,2025,3,FT,Engineer,157000,US,0,US,2
9155,2025,3,FT,Engineer,129000,US,100,US,2
9156,2025,3,FT,Engineer,112000,US,100,US,2
9159,2025,3,FT,Machine Learning Specialist,230000,US,0,US,2
9160,2025,3,FT,Machine Learning Specialist,180000,US,0,US,2
9161,2025,3,FT,Engineer,260000,US,100,US,2
9162,2025,3,FT,Engineer,161000,US,100,US,2
9163,2025,3,FT,Architect,164000,US,100,US,2
9164,2025,3,FT,Architect,113100,US,100,US,2
9165,2025,4,FT,Engineer,290000,US,0,US,2
9166,2025,4,FT,Engineer,220000,US,0,US,2
9167,2025,3,FT,Software Engineer,340000,US,0,US,2
9168,2025,3,FT,Software Engineer,212000,US,0,US,2
9175,2025,1,FT,Software Engineer,178600,US,0,US,2
9176,2025,1,FT,Software Engineer,132000,US,0,US,2
9183,2025,2,FT,Software Engineer,104852,US,100,US,2
9184,2025,2,FT,Software Engineer,67647,US,100,US,2
9185,2025,2,FT,Research Associate,87741,US,0,US,2
9186,2025,2,FT,Research Associate,52216,US,0,US,2
9187,2025,2,FT,Data Scientist,109951,US,0,US,2
